[Thu Jun 23 13:43:10.351535 2016] [:error] [pid 19454] [client 127.0.0.1:56057] PHP   5. get_template_part() /home/serg/site/mollir/wp-content/themes/mollir/page.php:22, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:10.351540 2016] [:error] [pid 19454] [client 127.0.0.1:56057] PHP   6. locate_template() /home/serg/site/mollir/wp-includes/general-template.php:167, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:10.351544 2016] [:error] [pid 19454] [client 127.0.0.1:56057] PHP   7. load_template() /home/serg/site/mollir/wp-includes/template.php:531, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:43:10.351548 2016] [:error] [pid 19454] [client 127.0.0.1:56057] PHP   8. require() /home/serg/site/mollir/wp-includes/template.php:574, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:59:27.357779 2016] [:error] [pid 21080] [client 127.0.0.1:56509] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /home/serg/site/mollir/wp-content/themes/mollir/template-parts/content-index.php on line 42, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:59:27.357979 2016] [:error] [pid 21080] [client 127.0.0.1:56509] PHP Stack trace:, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:59:27.357996 2016] [:error] [pid 21080] [client 127.0.0.1:56509] PHP   1. {main}() /home/serg/site/mollir/index.php:0, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:59:27.358007 2016] [:error] [pid 21080] [client 127.0.0.1:56509] PHP   2. require() /home/serg/site/mollir/index.php:17, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:59:27.358018 2016] [:error] [pid 21080] [client 127.0.0.1:56509] PHP   3. require_once() /home/serg/site/mollir/wp-blog-header.php:19, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
[Thu Jun 23 13:59:27.358027 2016] [:error] [pid 21080] [client 127.0.0.1:56509] PHP   4. include() /home/serg/site/mollir/wp-includes/template-loader.php:75, referer: http://mollir.tes/wp-admin/plugins.php?plugin_status=all&paged=1&s
